id,user_id,user_name,game_id,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids
36396019024,31557869,dasMEHDI,32982,live,"""Brian hires the Vagos"" - NoPixel | TWITTER: @dasMEHDI",6004,2019-12-11T17:39:13Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dasmehdi-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '0cb7e377-a308-44e8-91f7-07eea1d96129', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']"
36399094336,31239503,ESL_CSGO,32399,live,LIVE: IEM Katowice 2020 Open Qualifier - North America - Riot Squad vs Just For Fun,5923,2019-12-12T02:19:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_esl_csgo-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '1eba3cfe-51cc-460a-8259-bc8bb987f904', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']"
36398657344,60978448,dogdog,138585,live,Expansion stuff!,5907,2019-12-12T01:28:14Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_dogdog-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f', '4c735b64-52ee-4637-9144-b7d8bd0b4324']"
36398794896,214560121,BrookeAB,509658,live,100 Thieves Holiday Charity Stream Presented by Totino's Pizza Rolls,5767,2019-12-12T01:44:46Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_brookeab-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36394123664,71190292,Trainwreckstv,417969,live,36HR nostalgic Halo 1-3 marathon on legendary - !halo | NEW !merch | twitter trainwreckstv,5628,2019-12-11T06:14:06Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_trainwreckstv-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36396196272,35824977,Becca,513143,live,"NEW PATCH, yolo ranked",5031,2019-12-11T18:28:50Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_becca-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36398749136,38251312,PaymoneyWubby,509658,live,YouTube is dead RIP,4988,2019-12-12T01:39:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_paymoneywubby-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36399451216,102619512,지수소녀,21779,live,5인큐 연습,4941,2019-12-12T03:03:45Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_wltn4765-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4']
36398400848,120244187,Aydan,33214,live,NAW Cash Cup [10/10] | Code: Aydan #AD | !giveaway !ig !yt,4699,2019-12-12T00:58:43Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_aydan-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397999280,54706574,JoshOG,512710,live,"Matching EVERY gifted sub!!!!! ~~  Damascus Grind ( 33 / 39 )~~ 34"" Curved Gaming Monitor !giveaway ~~ !xfinitybits",4614,2019-12-12T00:07:40Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_joshog-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397635552,7010591,UberHaxorNova,32982,live,The Final Expungement? !Dec | 20 NEW Holiday Emotes,4137,2019-12-11T23:17:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_uberhaxornova-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36399688752,76385901,elded,509658,live,GTA Y COD MOBILE (nuevo patrocinio escribe !glhf para info) || Redes: @dedreviil,4026,2019-12-12T03:36:00Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_elded-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1']
36398997168,11249217,JakenbakeLIVE,509658,live,THE FULL SUSHI PRIME EXPERIENCE - Final Stream !GameChangers Japan - !YouTube !Jake !Discord - Follow @JakenbakeLIVE,3804,2019-12-12T02:07:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_jakenbakelive-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36395373632,29289159,hashinshin,21779,live,TOP STREAM,3783,2019-12-11T14:08:39Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_hashinshin-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '1eba3cfe-51cc-460a-8259-bc8bb987f904', '24701825-fce2-4fec-b3f6-a963950febe0']"
36396827600,57636576,IKeepItTaco,21779,live,Playing Sett on PBE. Picking Jhin if banned. !Aphelios  Duo Karasmai,3767,2019-12-11T21:04:15Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_ikeepittaco-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397065728,38746172,EsfandTV,18122,live,"$10,000 WSG TOURNAMENT TOMORROW 3PM CST -- PRACTICE TODAY AND BIG AV GRIND | Method Esfand",3754,2019-12-11T21:46:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_esfandtv-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397945792,23936415,Jerma985,235,live,Affirmative[1000x] ,3659,2019-12-12T00:01:03Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_jerma985-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397070608,117379932,KingGeorge,460630,live,New !update KingGeorge !charm w/ !sub free w/ !prime @KingGeorge !twitter !youtube !insta,3557,2019-12-11T21:47:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_kinggeorge-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', '2b2a4874-8a3c-4995-b9e2-2a0bce1eb536', 'e1a43486-eee5-4f36-9ee6-76e72af00180', '8486f56b-8677-44f7-8004-000295391524', '1eba3cfe-51cc-460a-8259-bc8bb987f904', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']"
293004241,24147592,Gotaga,497451,live,[FR] GOTAGA ► ROAD TO TOP1000 [Ranked Pokémon],3490,2019-12-11T18:53:47Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_gotaga-{width}x{height}.jpg,['6f655045-9989-4ef7-8f85-1edcec42d648']
36399417664,92371909,플러리,138585,live,C9 Flurry 용의강림 패치,3458,2019-12-12T03:00:04Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_flurry1989-{width}x{height}.jpg,"['04eb0d32-9d06-487b-a55f-a0e325b008e5', 'f8d72838-f2c2-4b99-9a59-221174f6169d', 'ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4']"
293538305,36259794,RaizQT,29307,live,🔴 Theorycrafting for awakener race + practice,3444,2019-12-11T20:14:34Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_raizqt-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'b157e8d6-b7ba-49f4-836f-09886c072f1f']"
292983217,6768122,Jahrein,509658,live,MUHTELİF OYUNLAR! | instagram.com/jahrein !türknet !türknet2,3433,2019-12-11T18:50:34Z,tr,https://static-cdn.jtvnw.net/previews-ttv/live_user_jahrein-{width}x{height}.jpg,"['2a14b52e-d459-4c92-be11-5d86b898f6b6', 'f08d5873-f0c7-4912-94ba-a41933b4c141']"
36399195088,98125665,jschlatt,23313,live,The rabbids are back,3398,2019-12-12T02:31:45Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_jschlatt-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36390148544,75891532,mch_AGG,32399,live,THE NEVER ENDING AGGRESSION- ULTRA DROP & MASTERCHEF - !FANTASY !SORTEIO ,3346,2019-12-10T20:31:31Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_mch_agg-{width}x{height}.jpg,"['39ee8140-901a-4762-bfca-8260dea1310f', '5a62e451-be48-48cd-9a28-a1f30b28c419']"
36396550480,34932688,monkeys_forever,29595,live,Trio with Gunnar and Zfreek,3186,2019-12-11T20:02:13Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_monkeys_forever-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
36397967872,207813352,HasanAbi,509658,live,SORRY IM LATE WILL HAVE THE BEST REACTS,3178,2019-12-12T00:03:39Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_hasanabi-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'ab45fcb7-a22d-4a07-b0ac-fb3940566fa7', 'cea7bc0c-75a5-4446-8743-6db031b71550', '77017b7b-6b98-4f0d-bd39-3ba96b66ec7a']"
36399293232,12338326,FORMAL,512710,live,Best POV Worldwide!!! #T2P,3123,2019-12-12T02:44:00Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_formal-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039']
294406369,28575692,mistermv,513143,live,(FR) TFT nouveau patch | no cam | Gold I,3075,2019-12-12T00:31:35Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_mistermv-{width}x{height}.jpg,['6f655045-9989-4ef7-8f85-1edcec42d648']
